# source,"PS5 capture of race session 49, in-game tyre-wear gauge read off the HUD"
# method,"red fill fraction of each of the four HUD bars; +-4% quantisation (bar is ~24 px tall at 720p, yuv420 halves it)"
# car,Lamborghini Huracan GT3 15
# circuit,"Watkins Glen International, Long Course"
# compound,RS
# tyre_wear_mult,2x
# stint1,laps 1-13 (stop during 13)
# stint2,laps 13-20
video_t_s,race_lap,wear_fl,wear_fr,wear_rl,wear_rr
220,2.0199,0.0857,0.0822,0.0929,0.0890
222,2.0391,0.0822,0.0822,0.0929,0.0890
224,2.0583,0.0857,0.0429,0.0929,0.0890
226,2.0776,0.0857,0.0822,0.0929,0.0890
228,2.0968,0.1409,0.1355,0.1806,0.1419
230,2.116,0.0857,0.0822,0.0929,0.0890
232,2.1352,0.0857,0.0822,0.1645,0.0890
234,2.1544,0.0857,0.1355,0.1806,0.1074
236,2.1736,0.0857,0.0822,0.1645,0.0890
238,2.1928,0.0857,0.0822,0.1645,0.0890
240,2.212,0.0857,0.0822,0.1645,0.0890
242,2.2313,0.0857,0.0822,0.1712,0.0929
244,2.2505,0.0857,0.0822,0.1712,0.0929
246,2.2697,0.0857,0.0822,0.1712,0.0929
248,2.2889,0.1579,0.0429,0.1712,0.0890
250,2.3081,0.1519,0.0822,0.1645,0.0929
252,2.3273,0.1579,0.0822,0.1712,0.0929
254,2.3465,0.1579,0.0822,0.1712,0.0929
256,2.3657,0.1579,0.0822,0.1712,0.0929
258,2.385,0.1579,0.0822,0.1712,0.0929
260,2.4042,0.1644,0.0822,0.1712,0.0929
262,2.4234,0.1644,0.0822,0.1712,0.0929
264,2.4426,0.1644,0.0822,0.1712,0.0929
266,2.4618,0.1644,0.0857,0.1712,0.1477
268,2.481,0.1644,0.0857,0.1712,0.1301
270,2.5002,0.0896,0.0857,0.1712,0.0929
272,2.5194,0.1644,0.0857,0.1712,0.0929
274,2.5386,0.1644,0.0822,0.1712,0.0929
276,2.5579,0.1579,0.0857,0.1712,0.0929
278,2.5771,0.1579,0.0857,0.1712,0.0929
280,2.5963,0.1644,0.0857,0.1712,0.1645
282,2.6155,0.1644,0.0857,0.1712,0.1645
284,2.6347,0.1644,0.0822,0.1645,0.1645
286,2.6539,0.1644,0.0857,0.1712,0.1582
288,2.6731,0.1644,0.0857,0.1712,0.1645
290,2.6923,0.1644,0.0822,0.1357,0.0929
292,2.7116,0.1644,0.0857,0.1712,0.0929
294,2.7308,0.1579,0.0822,0.1712,0.0929
296,2.75,0.1644,0.0822,0.1712,0.0929
298,2.7692,0.1644,0.0822,0.1712,0.1645
300,2.7884,0.1644,0.1233,0.1712,0.1645
302,2.8076,0.1644,0.0857,0.1712,0.1645
304,2.8268,0.1644,0.0857,0.1712,0.1645
306,2.846,0.1644,0.0857,0.1712,0.1645
308,2.8653,0.1644,0.0857,0.1712,0.0929
310,2.8845,0.1644,0.1233,0.1712,0.1712
312,2.9037,0.1644,0.1233,0.1712,0.1712
314,2.9229,0.1644,0.0857,0.1712,0.1645
